name	accession_number	supplier_name	sanger_sample_id
5429STDY10316128	NULL	OMM23_Control_D7A	5429STDY10316128
5429STDY10316129	NULL	OMM23_Control_D7B	5429STDY10316129
5429STDY10316130	NULL	OMM23_Control_D7C	5429STDY10316130
5429STDY10316131	NULL	OMM23_D28A	5429STDY10316131
5429STDY10316132	NULL	OMM23_D28B	5429STDY10316132
5429STDY10316133	NULL	OMM23_D28C	5429STDY10316133
5429STDY10316134	NULL	OMM23_D35A	5429STDY10316134
5429STDY10316135	NULL	OMM23_D35B	5429STDY10316135
5429STDY10316136	NULL	OMM23_D35C	5429STDY10316136
5429STDY10316137	NULL	OMM1_D28A	5429STDY10316137
5429STDY10316138	NULL	OMM1_D28B	5429STDY10316138
5429STDY10316139	NULL	OMM1_D28C	5429STDY10316139
5429STDY10316140	NULL	OMM1_D35A	5429STDY10316140
5429STDY10316141	NULL	OMM1_D35B	5429STDY10316141
5429STDY10316142	NULL	OMM1_D35C	5429STDY10316142
5429STDY10316143	NULL	921_D28A	5429STDY10316143
5429STDY10316144	NULL	921_D28B	5429STDY10316144
5429STDY10316145	NULL	921_D28C	5429STDY10316145
5429STDY10316146	NULL	921_D42A	5429STDY10316146
5429STDY10316147	NULL	921_D42B	5429STDY10316147
5429STDY10316148	NULL	921_D42C	5429STDY10316148
5429STDY10316149	NULL	MP38_D28A	5429STDY10316149
5429STDY10316150	NULL	MP38_D28B	5429STDY10316150
5429STDY10316151	NULL	MP38_D28C	5429STDY10316151
5429STDY10316152	NULL	MP38_D65A	5429STDY10316152
5429STDY10316153	NULL	MP38_D65B	5429STDY10316153
5429STDY10316154	NULL	MP38_D65C	5429STDY10316154
5429STDY10316155	NULL	MP41_D28A	5429STDY10316155
5429STDY10316156	NULL	MP41_D28B	5429STDY10316156
5429STDY10316157	NULL	MP41_D28C	5429STDY10316157
5429STDY10316158	NULL	MP41_D32A	5429STDY10316158
5429STDY10316159	NULL	MP41_D32B	5429STDY10316159
5429STDY10316160	NULL	MP41_D32C	5429STDY10316160
5429STDY8103958	EGAN00002160867	Mel202_Control_D7A	5429STDY8103958
5429STDY8103959	EGAN00002160868	Mel202_Control_D7B	5429STDY8103959
5429STDY8103960	EGAN00002160869	Mel202_Control_D7C	5429STDY8103960
5429STDY8103961	EGAN00002160870	Mel202_D28A	5429STDY8103961
5429STDY8103962	EGAN00002160871	Mel202_D28B	5429STDY8103962
5429STDY8103963	EGAN00002160872	Mel202_D28C	5429STDY8103963
5429STDY8103964	EGAN00002160873	Mel270_D28A	5429STDY8103964
5429STDY8103965	EGAN00002160874	Mel270_D28B	5429STDY8103965
5429STDY8103966	EGAN00002160875	Mel270_D28C	5429STDY8103966
5429STDY8103967	EGAN00002160876	Mel270_D35A	5429STDY8103967
5429STDY8103968	EGAN00002160877	Mel270_D35B	5429STDY8103968
5429STDY8103969	EGAN00002160878	Mel270_D35C	5429STDY8103969
5429STDY8103970	EGAN00002160879	Mel285_D28A	5429STDY8103970
5429STDY8103971	EGAN00002160880	Mel285_D28B	5429STDY8103971
5429STDY8103972	EGAN00002160881	Mel285_D28C	5429STDY8103972
5429STDY8103973	EGAN00002160882	Mel285_D49A	5429STDY8103973
5429STDY8103974	EGAN00002160883	Mel285_D49B	5429STDY8103974
5429STDY8103975	EGAN00002160884	Mel285_D49C	5429STDY8103975
5429STDY8103976	EGAN00002160885	OMM25_D28A	5429STDY8103976
5429STDY8103977	EGAN00002160886	OMM25_D28B	5429STDY8103977
5429STDY8103978	EGAN00002160887	OMM25_D28C	5429STDY8103978
5429STDY8103979	EGAN00002160888	OMM25_D42A	5429STDY8103979
5429STDY8103980	EGAN00002160889	OMM25_D42B	5429STDY8103980
5429STDY8103981	EGAN00002160890	OMM25_D42C	5429STDY8103981
5429STDY8103982	EGAN00002160891	MP46_D28A	5429STDY8103982
5429STDY8103983	EGAN00002160892	MP46_D28B	5429STDY8103983
5429STDY8103984	EGAN00002160893	MP46_D28C	5429STDY8103984
5429STDY8103985	EGAN00002160894	MP46_D64A	5429STDY8103985
5429STDY8103986	EGAN00002160895	MP46_D64B	5429STDY8103986
5429STDY8103987	EGAN00002160896	MP46_D64C	5429STDY8103987